Date,Name,Year,Letterboxd URI
2023-11-12,Friendly Beast,2017,https://boxd.it/gvzC
2023-12-03,The Second Mother,2015,https://boxd.it/9Ydm
2023-12-05,Willy Wonka & the Chocolate Factory,1971,https://boxd.it/2aLu
2023-12-05,Bonnie and Clyde,1967,https://boxd.it/2ajg
2024-01-05,Private Desert,2021,https://boxd.it/wkT4
2024-01-05,A Dog's Will,2000,https://boxd.it/12u4
2024-01-11,"Synecdoche, New York",2008,https://boxd.it/23zw
2024-01-11,Russian Ark,2002,https://boxd.it/1JQM
2024-01-15,The Death of Stalin,2017,https://boxd.it/ea9Y
2024-01-15,Hard to Be a God,2013,https://boxd.it/3Ido
2024-01-15,Raging Bull,1980,https://boxd.it/28yI
2024-01-16,Moon,2009,https://boxd.it/1IGQ
2024-01-16,The Florida Project,2017,https://boxd.it/dMG0
2024-01-22,The Village,2004,https://boxd.it/21iS
2024-01-22,Excalibur,1981,https://boxd.it/1TDI
2024-01-22,The Day the Earth Stood Still,1951,https://boxd.it/29w4
2024-01-23,Eyes Without a Face,1960,https://boxd.it/1j9i
2024-01-27,Häxan,1922,https://boxd.it/n4O
2024-01-27,The Passion of Joan of Arc,1928,https://boxd.it/29DO
2024-02-09,Monster,2023,https://boxd.it/DJEM
2024-02-12,Carnival of Souls,1962,https://boxd.it/1KQ4
2024-02-12,The Skin I Live In,2011,https://boxd.it/99A
2024-02-12,The Trial,1962,https://boxd.it/25Xg
2024-02-13,Inland Empire,2006,https://boxd.it/28d6
2024-02-14,Dawn of the Dead,1978,https://boxd.it/29gU
2024-02-14,Day of the Dead,1985,https://boxd.it/20dM
2024-02-14,Braindead,1992,https://boxd.it/29Gy
2024-02-15,Harakiri,1962,https://boxd.it/1NTU
2024-02-16,Escape from New York,1981,https://boxd.it/294k
2024-02-16,Man on the Moon,1999,https://boxd.it/281k
2024-02-17,Escape from Alcatraz,1979,https://boxd.it/1Vwk
2024-02-19,Scarface,1932,https://boxd.it/29oa
2024-02-19,Sicario,2015,https://boxd.it/8i7u
2024-02-21,Lifeboat,1944,https://boxd.it/1Qpo
2024-02-23,28 Days Later,2002,https://boxd.it/2aXU
2024-02-26,Steve Jobs,2015,https://boxd.it/araG
2024-02-26,Ben-Hur,1959,https://boxd.it/29RQ
2024-02-27,Fake Blonde,2007,https://boxd.it/5eHM
2024-02-29,El Topo,1970,https://boxd.it/1QYS
2024-03-01,Hellraiser,1987,https://boxd.it/1Zpi
2024-03-04,Shoplifters,2018,https://boxd.it/ifY6
2024-03-15,The Host,2006,https://boxd.it/28ZY
2024-03-15,After Yang,2021,https://boxd.it/lx5a
2024-03-22,Metropolis,1927,https://boxd.it/71a
2024-03-29,Transcendence,2014,https://boxd.it/4VSQ
2024-04-01,Broker,2022,https://boxd.it/rDUU
2024-04-01,"Black Coal, Thin Ice",2014,https://boxd.it/7xaw
2024-04-04,The Hourglass Sanatorium,1973,https://boxd.it/OUW
2024-04-06,Twelve Monkeys,1995,https://boxd.it/2beQ
2024-04-08,The Deer Hunter,1978,https://boxd.it/1T6O
2024-04-09,X: The Man with the X-Ray Eyes,1963,https://boxd.it/1gVI
2024-04-09,Color Out of Space,2019,https://boxd.it/k1HY
2024-04-09,The Endless,2017,https://boxd.it/ffyw
2024-04-10,Dead Ringers,1988,https://boxd.it/1Yqk
2024-04-10,An American Werewolf in London,1981,https://boxd.it/29yk
2024-04-11,Assault on Precinct 13,1976,https://boxd.it/1I2c
2024-04-11,The Amulet of Ogum,1974,https://boxd.it/33Ey
2024-04-12,Duel,1971,https://boxd.it/29ui
2024-04-12,La Cérémonie,1995,https://boxd.it/287C
2024-04-13,The Sixth Sense,1999,https://boxd.it/29Js
2024-04-13,The Visit,2015,https://boxd.it/9ssO
2024-04-15,The Great Beauty,2013,https://boxd.it/5ty6
2024-04-16,Kinds of Kindness,2024,https://boxd.it/CWPw
2024-04-23,Count Dracula,1970,https://boxd.it/22S8
2024-05-07,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2024-05-07,Kill Bill: Vol. 2,2004,https://boxd.it/2au4
2024-05-13,Stanley Kubrick: A Life in Pictures,2001,https://boxd.it/1lnm
2024-05-14,The Others,2001,https://boxd.it/27Po
2024-05-14,Panic,1946,https://boxd.it/UpU
2024-05-16,The Lodger: A Story of the London Fog,1927,https://boxd.it/26m6
2024-05-19,The Lady from Shanghai,1947,https://boxd.it/251Q
2024-05-19,Paris When It Sizzles,1964,https://boxd.it/1zZa
2024-05-23,The Last Horror Film,1982,https://boxd.it/lAy
2024-05-23,The Blair Witch Project,1999,https://boxd.it/26ua
2024-05-23,"As Above, So Below",2014,https://boxd.it/7yui
2024-05-24,Invisible Life,2019,https://boxd.it/k1JU
